Student_Name,Gender,Date_of_birth,Age,Father's_name,Mother's_name,Guardian's_name,Orphan,no_of_siblings,Adhaar_No,Address,state,PinCode,Mobile_Number,Contact_email_id,mother_tongue,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,pwd,indian_nationality,out_of_school_child,dropped_continued,contact_no,aadhar_no,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,debt,family_annual_income,no_of_children,academic_stream,status_in_previous_year,appreared_previous_exam,results_in_previous_year_type,mental_issues,drug_addiction ,label
Adeline Brooks,0,03-08-2006,20,Mr.Brooks,Mrs.Brooks,-,0,1,4.67E+11,,27,752973,8478473536,Adeline.Brooks@87.com,1,4,4,1,1,0,0,1,0,0,8002065849,8.73E+11,2,5,1,1,1,0,2,5,3,0,4,0,0,6
Adeline Newton,1,08-12-2003,16,Mr.Newton,Mrs.Newton,-,0,1,4.03E+11,,11,316618,8541216277,Adeline.Newton@47.com,1,4,4,1,0,1,1,1,1,0,7877351012,4.67E+11,3,1,0,0,1,0,2,5,1,0,3,1,1,6
Adrian Chambers,1,23-10-2005,19,Mr.Chambers,Mrs.Chambers,-,0,1,7.88E+11,,3,635199,9393563125,Adrian.Chambers@72.com,0,3,5,0,0,1,0,1,0,1,8252790040,1.61E+11,0,5,0,1,1,0,2,1,5,0,3,0,1,8
Adrian Colon,0,11-05-2005,21,Mr.Colon,Mrs.Colon,-,0,2,2.68E+11,,9,995210,8620571162,Adrian.Colon@6.com,0,3,1,1,1,0,0,1,1,0,8957363056,6.44E+11,5,0,1,0,0,1,3,3,5,1,1,0,0,6
Adrian Mathis,1,01-03-2007,17,Mr.Mathis,Mrs.Mathis,-,0,2,8.95E+11,,19,494174,8104634212,Adrian.Mathis@66.com,0,3,1,1,1,1,0,1,0,1,8436777422,6.76E+11,5,4,0,1,1,2,3,3,1,0,3,1,1,9
Adrian Williamson,0,13-10-2005,17,Mr.Williamson,Mrs.Williamson,-,1,2,8.83E+11,,17,903157,9266228898,Adrian.Williamson@69.com,0,1,7,1,0,0,1,1,1,0,8082709623,3.36E+11,1,0,1,0,0,2,3,5,1,0,3,1,1,6
Agnes Barnett,0,07-12-2001,17,Mr.Barnett,Mrs.Barnett,-,0,1,3.90E+11,,4,437605,9648499518,Agnes.Barnett@71.com,1,1,7,0,1,0,0,1,0,0,8231358381,1.77E+11,0,3,1,1,0,0,2,3,5,1,1,0,0,6
Agnes Holmes,0,30-08-2005,17,Mr.Holmes,Mrs.Holmes,-,0,1,9.75E+11,,3,533061,9577196486,Agnes.Holmes@62.com,1,3,7,0,1,0,1,1,1,0,9779883941,1.67E+11,5,3,0,1,1,1,2,4,3,0,1,0,1,4
Agnes Mathis,1,02-01-2004,14,Mr.Mathis,Mrs.Mathis,-,0,1,5.16E+11,,20,224049,9484720569,Agnes.Mathis@86.com,0,3,7,0,0,1,1,1,1,1,9644185470,2.57E+11,4,0,0,1,1,2,2,5,4,0,2,1,0,8
Aiden Chambers,1,05-07-2001,21,Mr.Chambers,Mrs.Chambers,-,0,2,8.55E+11,,14,470683,8234226499,Aiden.Chambers@40.com,1,3,3,1,0,1,1,1,1,0,8810402496,6.59E+11,5,5,0,1,0,2,3,3,4,0,1,1,0,6
Alan Pratt,1,05-04-2001,21,Mr.Pratt,Mrs.Pratt,-,0,1,8.31E+11,,21,543069,9833866485,Alan.Pratt@66.com,1,1,1,0,0,1,0,1,0,0,9886220082,1.22E+11,1,2,0,1,1,2,2,2,2,0,4,0,1,5
Albert Fletcher,0,05-02-2006,15,Mr.Fletcher,Mrs.Fletcher,-,0,1,2.03E+11,,8,589671,8723029572,Albert.Fletcher@64.com,0,2,3,1,1,0,0,1,0,1,9749721505,5.53E+11,3,5,1,1,0,0,2,4,5,1,2,0,0,7
Albert Neal,1,31-07-2001,16,Mr.Neal,Mrs.Neal,-,0,2,6.66E+11,,20,625351,7989592279,Albert.Neal@39.com,0,1,4,1,1,1,1,1,1,1,9161485495,9.86E+11,1,2,0,1,1,1,3,2,5,0,3,0,1,7
Albert Oliver,0,22-01-2001,18,Mr.Oliver,Mrs.Oliver,-,0,1,8.26E+11,,26,422813,9438528675,Albert.Oliver@3.com,1,2,7,1,1,0,0,1,1,1,9955843767,9.16E+11,5,0,1,1,0,0,2,1,2,1,1,1,0,8
Alberta McBride,0,11-05-2007,21,Mr.McBride,Mrs.McBride,-,0,2,2.07E+11,,31,927500,8926059782,Alberta.McBride@18.com,0,1,5,1,1,1,1,1,0,1,8302819572,9.40E+11,3,2,0,1,1,2,3,2,3,0,1,0,0,7
Alberta Wood,0,03-06-2001,21,Mr.Wood,Mrs.Wood,-,0,2,1.46E+11,,10,991139,9974887760,Alberta.Wood@1.com,0,3,2,1,0,1,1,1,0,0,9001979493,5.77E+11,3,5,1,0,1,1,3,4,3,1,1,1,1,6
Alejandro Peters,1,30-09-2006,20,Mr.Peters,Mrs.Peters,-,0,2,1.21E+11,,18,182223,8202924858,Alejandro.Peters@17.com,1,3,1,1,0,1,1,1,1,1,8318692767,5.97E+11,5,0,1,1,1,0,3,1,1,1,2,1,1,11
Alexander Blair,1,08-08-2004,18,Mr.Blair,Mrs.Blair,-,0,2,8.55E+11,,1,678492,8415103495,Alexander.Blair@98.com,0,1,5,0,1,1,1,1,1,1,7973355837,5.47E+11,5,2,0,0,0,0,3,1,4,1,2,1,1,8
Alfred Cunningham,1,29-08-2008,14,Mr.Cunningham,Mrs.Cunningham,-,0,2,4.96E+11,,3,371079,9469004368,Alfred.Cunningham@94.com,1,4,2,1,1,0,1,1,1,0,9771742724,5.13E+11,1,5,0,1,0,1,3,5,5,0,2,0,0,4
Alfred Underwood,0,22-03-2007,17,Mr.Underwood,Mrs.Underwood,-,0,2,3.46E+11,,2,841104,8755855596,Alfred.Underwood@9.com,0,4,5,1,0,0,0,1,0,1,9386474098,9.26E+11,2,0,1,0,1,0,3,3,4,1,1,0,1,7
Alfred Warner,1,06-06-2001,21,Mr.Warner,Mrs.Warner,-,1,1,8.87E+11,,24,678783,9861378643,Alfred.Warner@12.com,0,4,1,0,1,0,1,1,0,0,8410798116,6.20E+11,5,3,1,1,0,1,2,3,3,0,3,0,1,5
Alice Wilkins,1,22-11-2007,16,Mr.Wilkins,Mrs.Wilkins,-,0,2,9.24E+11,,23,677624,8764548426,Alice.Wilkins@76.com,0,2,3,1,0,0,0,1,1,0,9531263169,6.43E+11,4,5,1,0,1,1,3,1,3,0,1,0,1,4
Allen Curry,1,20-11-2002,20,Mr.Curry,Mrs.Curry,-,0,1,1.17E+11,,23,198238,9069023613,Allen.Curry@81.com,0,4,3,0,1,1,1,1,0,0,9696433266,2.64E+11,5,4,0,0,1,0,2,3,1,1,3,0,0,5
Allen Walker,1,09-01-2001,15,Mr.Walker,Mrs.Walker,-,0,2,6.70E+11,,28,851667,9571682983,Allen.Walker@61.com,1,3,6,1,1,1,1,1,0,1,8948871827,4.35E+11,1,4,1,0,1,0,3,5,4,1,4,1,0,9
Allen Waters,1,12-09-2000,14,Mr.Waters,Mrs.Waters,-,1,2,3.33E+11,,33,616546,9371551889,Allen.Waters@91.com,1,3,6,0,0,0,1,1,0,0,7790742144,7.73E+11,5,2,1,0,0,0,3,1,5,1,3,1,0,5
Allen Williamson,1,03-08-2006,18,Mr.Williamson,Mrs.Williamson,-,0,2,1.26E+11,,1,533497,8582130038,Allen.Williamson@71.com,1,4,3,0,1,0,0,1,1,0,8038979992,6.87E+11,4,5,1,0,0,1,3,1,1,0,1,1,0,3
Allie Griffin,1,16-10-2005,18,Mr.Griffin,Mrs.Griffin,-,1,1,9.57E+11,,18,991840,7979222205,Allie.Griffin@52.com,0,4,3,0,1,1,0,1,1,0,8810542646,5.26E+11,0,0,1,1,0,1,2,3,5,1,1,0,1,6
Alma Brooks,0,31-12-2001,14,Mr.Brooks,Mrs.Brooks,-,0,1,3.40E+11,,24,112250,8807504879,Alma.Brooks@54.com,0,3,1,1,0,0,1,1,1,1,9362794097,4.86E+11,4,0,1,0,0,0,2,3,2,1,3,0,1,7
Alma Figueroa,1,15-03-2005,14,Mr.Figueroa,Mrs.Figueroa,-,0,1,1.83E+11,,4,376881,9040830234,Alma.Figueroa@25.com,0,3,6,0,0,0,0,1,0,0,8845407873,3.33E+11,0,3,0,1,0,1,2,5,4,0,4,1,0,5
Alma Gray,0,02-06-2001,16,Mr.Gray,Mrs.Gray,-,0,2,4.72E+11,,16,485675,8866263898,Alma.Gray@4.com,0,1,7,0,1,1,1,1,0,1,9528365753,7.63E+11,1,4,0,1,1,0,3,5,5,1,2,0,1,7
Alta Bush,0,18-05-2001,14,Mr.Bush,Mrs.Bush,-,0,2,5.15E+11,,9,708858,9225815603,Alta.Bush@36.com,0,2,2,1,0,0,0,1,1,0,9628266999,3.25E+11,3,5,1,1,0,2,3,2,4,1,3,0,0,6
Alta Christensen,0,26-04-2007,16,Mr.Christensen,Mrs.Christensen,-,0,1,5.46E+11,,21,790762,8479543186,Alta.Christensen@48.com,0,4,3,0,0,1,0,1,1,0,8716385989,9.33E+11,2,5,0,1,1,2,2,2,1,0,1,1,0,4
Alta Floyd,0,19-12-2003,20,Mr.Floyd,Mrs.Floyd,-,0,2,2.01E+11,,26,330577,8001692600,Alta.Floyd@2.com,1,2,4,0,1,1,0,1,1,1,7950945000,3.77E+11,0,4,1,0,0,0,3,4,3,1,1,1,1,7
Alvin Ellis,0,28-06-2001,14,Mr.Ellis,Mrs.Ellis,-,1,1,1.45E+11,,22,828724,8321734571,Alvin.Ellis@19.com,1,1,3,1,0,1,1,1,1,1,9564762206,9.10E+11,2,1,1,1,1,0,2,5,5,1,3,0,0,8
Amanda Graham,0,02-08-2005,15,Mr.Graham,Mrs.Graham,-,1,1,2.59E+11,,20,459121,9606009810,Amanda.Graham@65.com,0,4,6,0,1,1,0,1,0,0,9219861128,9.05E+11,0,2,1,0,0,0,2,4,1,0,2,0,0,6
Amanda Matthews,0,16-07-2003,19,Mr.Matthews,Mrs.Matthews,-,0,2,9.32E+11,,7,185940,9334870523,Amanda.Matthews@44.com,1,3,6,0,1,0,1,1,0,0,9784709668,7.14E+11,2,3,1,1,1,1,3,2,1,0,1,0,0,5
Amelia Peterson,1,24-08-2001,18,Mr.Peterson,Mrs.Peterson,-,0,2,2.07E+11,,19,944665,9054259593,Amelia.Peterson@39.com,1,2,4,1,1,1,0,1,1,0,8485075789,7.33E+11,1,3,0,1,0,2,3,3,3,0,3,0,0,6
Amy Grant,0,05-08-2008,14,Mr.Grant,Mrs.Grant,-,0,1,1.84E+11,,11,986072,9167098545,Amy.Grant@51.com,0,1,5,0,1,0,0,1,0,1,8125714762,2.54E+11,4,1,1,1,1,0,2,4,1,0,1,1,1,8
Amy Walker,0,27-03-2008,14,Mr.Walker,Mrs.Walker,-,0,1,6.50E+11,,33,515039,7944760720,Amy.Walker@1.com,1,3,3,1,1,1,1,1,1,1,9198356315,3.08E+11,1,2,1,1,0,1,2,1,1,1,3,1,0,8
Andrew Waters,1,09-02-2004,15,Mr.Waters,Mrs.Waters,-,1,1,3.72E+11,,13,835323,9975736015,Andrew.Waters@70.com,1,1,6,0,1,0,1,1,0,0,9494411326,7.99E+11,4,3,1,0,0,2,2,5,2,1,2,0,1,4
Angel Bowman,0,05-02-2003,18,Mr.Bowman,Mrs.Bowman,-,0,2,3.23E+11,,24,256971,9855428252,Angel.Bowman@85.com,0,3,4,1,0,0,1,1,1,1,9024814241,7.77E+11,1,0,1,1,1,2,3,2,3,1,3,1,0,8
Angel Olson,1,01-04-2005,15,Mr.Olson,Mrs.Olson,-,1,1,1.18E+11,,11,475564,8818299928,Angel.Olson@59.com,0,2,1,1,0,1,0,1,0,1,9161855493,3.44E+11,2,1,1,1,1,2,2,1,2,0,2,0,0,8
Angel Rodriguez,0,17-02-2002,17,Mr.Rodriguez,Mrs.Rodriguez,-,0,2,8.96E+11,,6,343384,9013800749,Angel.Rodriguez@65.com,0,3,4,0,1,1,1,1,0,0,8111235399,2.33E+11,1,3,0,1,0,2,3,4,3,1,4,1,0,5
Ann Mathis,0,03-10-2003,15,Mr.Mathis,Mrs.Mathis,-,0,2,5.92E+11,,15,696687,8148928601,Ann.Mathis@19.com,0,1,4,1,0,0,0,1,0,1,8709417734,4.83E+11,3,4,0,1,1,0,3,5,3,1,3,1,1,7
Ann Rodriguez,1,26-09-2000,18,Mr.Rodriguez,Mrs.Rodriguez,-,1,2,2.96E+11,,12,881410,8378164391,Ann.Rodriguez@48.com,1,3,5,0,0,0,0,1,0,0,9311589611,3.04E+11,0,1,0,1,1,1,3,2,4,1,1,0,0,6
Ann Webb,1,16-05-2006,16,Mr.Webb,Mrs.Webb,-,1,1,8.12E+11,,13,173851,8208114988,Ann.Webb@81.com,0,2,4,1,0,0,0,1,0,0,8067011582,5.80E+11,5,4,0,0,0,2,2,5,1,0,3,0,1,3
Anne Higgins,1,16-02-2002,15,Mr.Higgins,Mrs.Higgins,-,0,1,4.80E+11,,22,367684,8601824408,Anne.Higgins@54.com,1,1,4,0,1,0,0,1,1,0,9696876045,2.44E+11,4,4,0,1,1,2,2,5,2,0,3,0,1,5
Anne Mann,1,07-03-2004,15,Mr.Mann,Mrs.Mann,-,1,2,2.59E+11,,12,761884,9874074371,Anne.Mann@87.com,1,4,3,1,1,1,1,1,0,1,8291506857,8.44E+11,4,4,0,1,1,1,3,2,2,1,3,1,1,7
Anne Watson,1,16-12-2006,18,Mr.Watson,Mrs.Watson,-,0,2,1.89E+11,,3,638434,8018081500,Anne.Watson@29.com,1,1,2,0,1,0,1,1,1,0,9866545167,9.27E+11,2,4,1,0,1,2,3,5,1,0,4,1,0,5
Annie Greene,1,17-07-2007,16,Mr.Greene,Mrs.Greene,-,0,1,4.05E+11,,2,197346,9013629496,Annie.Greene@31.com,1,1,7,1,0,1,1,1,1,1,7977746856,3.05E+11,3,3,1,1,1,0,2,2,4,1,2,1,0,10
Annie Jensen,0,03-03-2004,16,Mr.Jensen,Mrs.Jensen,-,0,1,5.10E+11,,1,226233,9601894955,Annie.Jensen@61.com,0,4,1,1,1,0,1,1,0,0,8245522466,3.69E+11,4,3,0,1,0,2,2,1,5,0,3,1,0,6
Annie Santos,0,20-02-2008,16,Mr.Santos,Mrs.Santos,-,0,2,6.86E+11,,33,608791,8354294845,Annie.Santos@32.com,1,1,7,1,0,0,0,1,0,0,8728572074,3.69E+11,1,4,1,1,0,0,3,4,5,1,4,1,1,6
Anthony Moreno,0,12-05-2003,15,Mr.Moreno,Mrs.Moreno,-,0,2,1.90E+11,,31,864284,8247439640,Anthony.Moreno@8.com,1,1,1,1,1,1,1,1,1,1,8397899428,5.24E+11,2,2,1,1,1,0,3,5,5,0,2,1,1,11
Antonio Wilkins,0,03-02-2002,17,Mr.Wilkins,Mrs.Wilkins,-,0,1,4.40E+11,,26,655865,8090426868,Antonio.Wilkins@83.com,0,1,7,0,1,1,0,1,0,0,9140684757,3.85E+11,0,3,0,1,0,0,2,3,2,0,1,0,1,6
Arthur Henry,1,28-07-2007,16,Mr.Henry,Mrs.Henry,-,0,1,1.64E+11,,4,263822,9539859312,Arthur.Henry@8.com,0,3,3,0,1,1,0,1,0,0,8487270451,7.83E+11,1,0,1,0,0,2,2,1,3,1,1,1,0,6
Augusta Gardner,1,10-09-2003,16,Mr.Gardner,Mrs.Gardner,-,0,1,5.58E+11,,23,238150,8729406437,Augusta.Gardner@62.com,0,4,5,0,0,1,1,1,0,1,8698486370,3.71E+11,0,2,0,1,1,0,2,5,3,1,3,1,0,8
Augusta Gregory,0,17-02-2006,16,Mr.Gregory,Mrs.Gregory,-,1,1,9.90E+11,,12,439635,7864699834,Augusta.Gregory@49.com,0,2,3,1,0,0,0,1,0,0,8470814644,1.97E+11,1,0,1,0,0,2,2,5,5,0,1,0,1,4
Augusta Medina,1,22-12-2002,16,Mr.Medina,Mrs.Medina,-,0,2,7.68E+11,,27,612291,7952530998,Augusta.Medina@70.com,0,4,1,1,1,0,0,1,1,1,8973548752,6.84E+11,5,1,1,1,1,1,3,5,3,1,3,1,0,8
Austin Cole,0,05-10-2003,17,Mr.Cole,Mrs.Cole,-,1,1,1.51E+11,,2,773906,7816950669,Austin.Cole@63.com,0,2,2,0,0,1,1,1,0,1,8681721883,8.83E+11,1,0,1,1,0,0,2,2,2,1,3,1,0,8
Austin Cunningham,1,27-09-2006,17,Mr.Cunningham,Mrs.Cunningham,-,0,1,4.10E+11,,31,633286,8918040702,Austin.Cunningham@90.com,0,3,6,0,0,1,1,1,0,0,9414337003,2.01E+11,3,5,0,0,0,0,2,4,1,1,2,1,0,5
Barbara Davidson,0,11-10-2003,14,Mr.Davidson,Mrs.Davidson,-,0,1,3.69E+11,,20,481902,9660774974,Barbara.Davidson@7.com,1,2,3,0,1,0,0,1,1,0,8863777634,1.92E+11,1,0,1,0,0,0,2,5,1,0,4,1,0,6
Barbara Wagner,0,17-08-2008,19,Mr.Wagner,Mrs.Wagner,-,0,1,1.51E+11,,15,575566,9413623539,Barbara.Wagner@53.com,0,2,1,0,1,1,1,1,1,1,9458443235,1.67E+11,3,3,0,1,1,2,2,4,1,0,2,0,0,7
Barbara Wells,0,20-01-2005,20,Mr.Wells,Mrs.Wells,-,1,2,6.20E+11,,26,647729,8303040484,Barbara.Wells@56.com,1,4,7,0,0,1,1,1,1,0,8572244434,1.98E+11,5,5,0,1,1,1,3,1,5,1,1,0,0,3
Barry Holmes,0,04-10-2001,20,Mr.Holmes,Mrs.Holmes,-,0,2,1.50E+11,,22,710681,9939594004,Barry.Holmes@36.com,1,1,5,0,1,1,0,1,0,1,9810777673,2.50E+11,1,5,1,0,1,1,3,3,5,1,4,1,1,7
Barry Strickland,0,01-06-2003,17,Mr.Strickland,Mrs.Strickland,-,0,1,9.43E+11,,3,465770,8832230509,Barry.Strickland@27.com,1,3,2,1,1,0,0,1,1,0,8947389047,2.52E+11,1,5,1,0,0,1,2,3,2,1,1,0,1,4
Beatrice Boone,1,21-10-2000,17,Mr.Boone,Mrs.Boone,-,0,1,6.21E+11,,12,320428,9850973982,Beatrice.Boone@10.com,1,4,6,0,0,0,0,1,1,0,8699039338,2.16E+11,4,2,1,0,0,2,2,1,5,0,1,0,0,1
Beatrice McCormick,1,06-03-2005,14,Mr.McCormick,Mrs.McCormick,-,0,1,7.13E+11,,10,476624,8683059690,Beatrice.McCormick@29.com,0,3,5,0,0,0,1,1,0,0,9703277936,7.97E+11,4,0,0,0,0,0,2,2,3,1,4,0,0,4
Beatrice Snyder,1,09-12-2005,19,Mr.Snyder,Mrs.Snyder,-,0,2,2.81E+11,,20,698334,7876448689,Beatrice.Snyder@59.com,0,1,3,0,0,0,0,1,1,0,9247998700,2.91E+11,3,0,1,0,0,1,3,1,2,0,3,1,1,5
Belle Simpson,1,05-12-2002,20,Mr.Simpson,Mrs.Simpson,-,0,2,5.02E+11,,28,829048,8272471806,Belle.Simpson@7.com,1,3,1,0,1,1,1,1,1,0,8513906411,4.70E+11,5,5,0,0,1,1,3,2,2,1,3,0,0,6
Bernard Alexander,0,22-08-2008,19,Mr.Alexander,Mrs.Alexander,-,1,1,4.81E+11,,18,987921,9079998326,Bernard.Alexander@46.com,1,2,5,0,1,1,0,1,0,1,8180362521,7.96E+11,0,3,0,0,1,0,2,3,2,1,2,1,1,9
Bernard Payne,0,01-04-2004,14,Mr.Payne,Mrs.Payne,-,0,1,7.96E+11,,21,571312,9905723537,Bernard.Payne@71.com,0,2,2,1,1,0,1,1,1,1,9837407725,8.35E+11,4,2,1,0,1,0,2,1,2,0,2,1,1,8
Bernard Weber,1,27-07-2002,17,Mr.Weber,Mrs.Weber,-,0,2,5.48E+11,,32,597749,9586992828,Bernard.Weber@34.com,0,4,5,0,1,1,0,1,1,0,8318234189,9.76E+11,4,4,0,1,0,1,3,3,1,0,4,1,0,5
Bernice Rodriguez,1,08-09-2006,20,Mr.Rodriguez,Mrs.Rodriguez,-,0,1,5.97E+11,,2,330146,9742178270,Bernice.Rodriguez@79.com,1,1,6,0,0,1,1,1,0,1,8647777787,8.89E+11,4,5,1,1,1,0,2,2,4,0,2,0,0,8
Bernice Simon,1,26-11-2006,16,Mr.Simon,Mrs.Simon,-,0,2,6.75E+11,,26,720167,8978836867,Bernice.Simon@14.com,1,1,4,1,0,0,0,1,1,0,9824131458,5.84E+11,2,5,1,0,1,0,3,1,1,0,4,1,1,6
Bertha Chavez,0,26-02-2007,16,Mr.Chavez,Mrs.Chavez,-,1,1,2.11E+11,,3,696150,9433087368,Bertha.Chavez@20.com,1,3,2,0,1,0,1,1,1,0,9183319556,3.92E+11,3,4,0,1,1,2,2,2,1,0,2,1,1,6
Bertha Lyons,0,30-10-2006,15,Mr.Lyons,Mrs.Lyons,-,1,1,2.84E+11,,19,143196,8743943055,Bertha.Lyons@79.com,0,3,5,0,1,1,0,1,0,1,7873148125,1.31E+11,1,5,1,0,1,1,2,4,3,1,2,0,1,7
Bertha Patrick,1,13-03-2006,14,Mr.Patrick,Mrs.Patrick,-,1,2,2.62E+11,,8,549364,9748806004,Bertha.Patrick@7.com,0,3,4,0,0,0,1,1,0,0,9014295191,5.31E+11,4,4,0,1,0,2,3,5,5,0,4,0,1,2
Bertha Pittman,0,02-10-2003,14,Mr.Pittman,Mrs.Pittman,-,0,2,6.05E+11,,9,965725,9445483968,Bertha.Pittman@22.com,1,1,3,1,1,1,0,1,1,1,9556295672,3.58E+11,4,4,0,1,0,0,3,3,2,1,3,1,0,8
Bertie Hopkins,1,24-12-2005,20,Mr.Hopkins,Mrs.Hopkins,-,0,2,8.28E+11,,6,456104,9630519091,Bertie.Hopkins@48.com,0,3,6,0,0,1,0,1,1,0,8300697415,9.66E+11,0,5,1,1,0,2,3,1,1,0,2,0,1,6
Bertie Jefferson,1,24-04-2002,14,Mr.Jefferson,Mrs.Jefferson,-,0,2,2.40E+11,,2,457512,8861448596,Bertie.Jefferson@1.com,0,2,2,1,1,1,1,1,1,1,9326636443,2.78E+11,0,4,1,1,1,2,3,4,2,1,4,0,0,8
Bess Dixon,1,10-02-2001,16,Mr.Dixon,Mrs.Dixon,-,0,1,2.65E+11,,8,968678,9418537400,Bess.Dixon@77.com,0,4,2,0,1,0,0,1,0,0,8577612610,9.85E+11,2,1,0,0,1,0,2,1,2,1,1,0,1,3
Bess Marshall,0,02-01-2004,21,Mr.Marshall,Mrs.Marshall,-,1,2,2.53E+11,,15,502432,9782589880,Bess.Marshall@45.com,1,4,5,1,1,0,1,1,0,1,7907673641,3.00E+11,5,2,1,1,0,0,3,1,5,1,1,1,1,7
Bessie Guzman,0,04-04-2006,21,Mr.Guzman,Mrs.Guzman,-,0,1,3.11E+11,,27,997258,8680511915,Bessie.Guzman@31.com,1,3,7,1,1,1,0,1,0,0,8105851819,5.00E+11,1,5,0,0,1,1,2,1,4,1,1,0,0,6
Bessie Moody,1,10-06-2003,20,Mr.Moody,Mrs.Moody,-,0,1,3.63E+11,,25,528140,7910654807,Bessie.Moody@47.com,1,4,7,0,1,1,0,1,0,1,8959893226,1.12E+11,2,2,1,1,1,0,2,5,4,0,4,1,1,8
Bettie Burton,0,18-06-2007,14,Mr.Burton,Mrs.Burton,-,0,2,7.48E+11,,14,690603,8722616562,Bettie.Burton@2.com,1,1,7,0,1,1,0,1,0,1,9018486379,4.21E+11,2,2,1,1,0,2,3,4,4,1,1,1,0,7
Bettie Wilkins,0,21-04-2006,15,Mr.Wilkins,Mrs.Wilkins,-,1,1,8.55E+11,,29,829661,7853752809,Bettie.Wilkins@82.com,0,4,7,0,1,0,1,1,1,0,8708956494,2.82E+11,1,1,0,0,1,1,2,4,3,0,3,1,0,4
